fixture,code,cluster,measure,page,staff,voice,expectedOnset,generatedOnset,onsetDiff,expectedPitch,generatedPitch,expectedChord,generatedChord,fragmentedSameClef,sequentialSameXCount,duplicateOwnershipCount
piano-beginner-single-vector,onset-mismatch,onset-resnap-or-gap-pack,7,,1,1,1.5,1,0.5,G4,G4,,,,,
piano-beginner-single-vector,missing-note,note-dropped-during-packing,7,,1,1,3,,,A4,,,,,,
piano-beginner-single-vector,extra-note,nearby-voices-incorrectly-merged,7,,1,1,,2,,,A4,,,,,
piano-beginner-single-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,3,2.75,0.25,E4,E4,,,,,
piano-beginner-single-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,0.5,1,0.5,A4,A4,,,,,
piano-beginner-single-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,1,1.5,0.5,G4,G4,,,,,
piano-beginner-single-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,0,0.75,0.75,B4,B4,,,,,
piano-grand-voices-vector,onset-mismatch,onset-resnap-or-gap-pack,5,,1,1,2,1.75,0.25,B4,B4,,,,,
piano-grand-voices-vector,onset-mismatch,onset-resnap-or-gap-pack,5,,1,1,3,2.75,0.25,C5,B4,,,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,5,,,,,,,,,G4 B4 D5,F4 A4 B4,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,5,,,,,,,,,B4 D5,A4 B4,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,5,,,,,,,,,C3 G3,C3 F3,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,6,,,,,,,,,D3 A3,D3 G3,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,6,,,,,,,,,A4 C#5 E5,G4 C5 C5,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,6,,,,,,,,,C#5 E5,C5 C5,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,7,,,,,,,,,G4 B4 D5,F4 A4 B4,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,7,,,,,,,,,C3 G3,C3 F3,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,7,,,,,,,,,B4 D5,A4 B4,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,8,,,,,,,,,E4 G#4 B4,E4 F4 A#4,,,
piano-grand-voices-vector,incorrect-chord,same-chord-split-across-onsets,8,,,,,,,,,G#4 B4,F4 A#4,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,1,,1,1,2,1.75,0.25,B4,B4,,,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,1,,1,1,2.5,2.25,0.25,C5,C5,,,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,1,,1,1,3,2.75,0.25,B4,B4,,,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,1,,1,1,3.5,3,0.5,A4,A4,,,,,
