piece                          path     detected   truth  ratio  pass   reasons
bach-chorale-bwv264            raster        773     152  5.09x    NO   low-confidence
bach-sheep-may-safely          raster       3828    1049  3.65x    NO   inconsistent-layout,low-confidence,low-confidence
bach-prelude-bwv846            raster       1999     549  3.64x    NO   low-confidence,low-confidence
beethoven-fur-elise            raster       3283     928  3.54x    NO   low-confidence,low-confidence
chopin-etude-op10-12           raster       6177    2094  2.95x    NO   inconsistent-layout,low-confidence,low-confidence
chopin-mazurka-op6-no1         raster       2690     941  2.86x    NO   inconsistent-layout,low-confidence,low-confidence
chopin-etude-op10-01           raster       3457    1382  2.50x    NO   low-confidence,low-confidence
bach-fugue-bwv846              raster       1875     750  2.50x    NO   low-confidence,low-confidence
beethoven-sonata-op2-m1        raster       3681    1754  2.10x    NO   low-confidence,low-confidence
bach-lute-prelude-bwv997       raster       1466     986  1.49x    NO   inconsistent-layout,low-confidence
bach-chorale-bwv259            raster        222     228  0.97x    NO   low-confidence
brahms-waltz-op39-3            raster        179     270  0.66x    NO   low-confidence
brahms-lullaby                 raster         93     179  0.52x   yes   -
piece                          path     detected   truth  ratio  pass   reasons
mozart-menuet-k2               raster        442     130  3.40x    NO   low-confidence
grieg-troldtog                 raster       6351    2195  2.89x    NO   low-confidence,low-confidence
turkish-march                  raster       4544    1614  2.82x    NO   inconsistent-layout,low-confidence,low-confidence
tchaikovsky-old-french-song    raster        538     238  2.26x    NO   low-confidence,low-confidence
vivaldi-mentre-dormi           raster       3067    1514  2.03x    NO   low-confidence
mozart-k153                    raster       2376    1173  2.03x    NO   low-confidence,low-confidence
chopin-nocturne-op9-n2         raster       2183    1277  1.71x    NO   low-confidence,low-confidence
handel-gavotte                 raster        378     242  1.56x    NO   low-confidence
mozart-symphony25-m1           raster      13850    9780  1.42x    NO   inconsistent-layout,low-confidence
schubert-erlkonig              raster       6165    5579  1.11x    NO   low-confidence
mozart-ave-verum               raster        319     349  0.91x    NO   low-confidence
schubert-heidenroeslein        raster        402     582  0.69x    NO   inconsistent-layout,low-confidence
piece                          path     detected   truth  ratio  pass   reasons
fixtures                       raster        453     204  2.22x    NO   low-confidence
fixtures                       raster       2074    1025  2.02x    NO   low-confidence,low-confidence
hungarian-dance-no5            raster       1908    1503  1.27x    NO   low-confidence
