piece                          path     detected   truth  ratio  pass   reasons
bach-chorale-bwv264            raster        783     152  5.15x    NO   low-confidence
bach-prelude-bwv846            raster       2651     549  4.83x    NO   low-confidence,low-confidence
bach-sheep-may-safely          raster       4873    1049  4.65x    NO   inconsistent-layout,low-confidence,low-confidence
beethoven-fur-elise            raster       4261     928  4.59x    NO   low-confidence,low-confidence
chopin-etude-op10-12           raster       8204    2094  3.92x    NO   inconsistent-layout,low-confidence,low-confidence
chopin-mazurka-op6-no1         raster       3373     941  3.58x    NO   inconsistent-layout,low-confidence,low-confidence
chopin-etude-op10-01           raster       4521    1382  3.27x    NO   low-confidence,low-confidence
beethoven-sonata-op2-m1        raster       5271    1754  3.01x    NO   low-confidence,low-confidence
bach-fugue-bwv846              raster       2145     750  2.86x    NO   low-confidence,low-confidence
bach-lute-prelude-bwv997       raster       1562     986  1.58x    NO   inconsistent-layout,low-confidence
bach-chorale-bwv259            raster        246     228  1.08x    NO   low-confidence
brahms-waltz-op39-3            raster        192     270  0.71x    NO   low-confidence
brahms-lullaby                 raster        103     179  0.58x   yes   -
piece                          path     detected   truth  ratio  pass   reasons
mozart-menuet-k2               raster        778     130  5.98x    NO   low-confidence,low-confidence
turkish-march                  raster       6241    1614  3.87x    NO   inconsistent-layout,low-confidence,low-confidence
grieg-troldtog                 raster       8358    2195  3.81x    NO   low-confidence,low-confidence
tchaikovsky-old-french-song    raster        758     238  3.18x    NO   low-confidence,low-confidence
mozart-k153                    raster       3083    1173  2.63x    NO   low-confidence,low-confidence
chopin-nocturne-op9-n2         raster       3072    1277  2.41x    NO   low-confidence,low-confidence
handel-gavotte                 raster        542     242  2.24x    NO   low-confidence,low-confidence
vivaldi-mentre-dormi           raster       3299    1514  2.18x    NO   low-confidence
mozart-symphony25-m1           raster      14570    9780  1.49x    NO   inconsistent-layout,low-confidence
mozart-ave-verum               raster        429     349  1.23x    NO   low-confidence
schubert-erlkonig              raster       6525    5579  1.17x    NO   low-confidence
schubert-heidenroeslein        raster        454     582  0.78x    NO   inconsistent-layout,low-confidence
piece                          path     detected   truth  ratio  pass   reasons
fixtures                       raster        656     204  3.22x    NO   low-confidence,low-confidence
fixtures                       raster       2568    1025  2.51x    NO   low-confidence,low-confidence
hungarian-dance-no5            raster       2747    1503  1.83x    NO   low-confidence,low-confidence
fixtures                       vector          0    4388  0.00x    NO   no-notes,sparse-notes,low-confidence
