fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,A4,A4,1.5,1.5,0.5,0.25,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,C5,C5,2.5,2.25,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,E4,E4,0,0,0.5,1,0,0,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,F4,F4,0.5,0.5,0.5,1,0,0,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,B4,B4,3,2.75,0.5,0.25,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,B4,B4,3,2.75,0.5,0.25,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,B4,B4,2,1.75,0.5,1,0,0.25,0.5,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,B4,B4,2,1.75,0.5,1,0,0.25,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,A4,A4,3.5,3,0.5,1,0,0.5,0.5,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,A4,A4,3.5,3,0.5,1,0,0.5,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,E4,E4,2,2,0.25,0.5,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,C5,C5,1.25,1.5,0.25,0.25,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,A4,A4,2.75,2.5,0.25,0.25,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,B4,B4,3,2.75,0.25,0.25,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,B4,B4,3.5,3.25,0.25,0.25,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,A4,A4,0.75,1,0.25,0.5,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,A4,A4,0.75,1,0.25,0.5,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,F4,F4,2.25,2,0.25,0.5,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,F4,F4,2.25,2,0.25,0.5,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,F4,F4,0.25,0.75,0.25,0.25,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,C5,C5,3.25,2.75,0.25,0.25,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,A4,A4,3.75,3.25,0.25,0.25,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,G4,G4,0.5,1,0.25,0.5,0,0.5,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,G4,G4,0.5,1,0.25,0.5,0,0.5,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,E4,E4,0,0.75,0.25,0.25,0,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,B4,B4,1,1.75,0.25,0.25,0,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,4,1,1,A4,A4,1,1.5,1.5,1.5,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,4,1,1,B4,B4,2.75,3,0.25,1,0,0.25,0.75,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,4,1,1,B4,B4,2.75,3,0.25,1,0,0.25,0.75,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,4,1,1,G4,G4,0.5,1,0.5,1,0,0.5,0.5,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,4,1,1,G4,G4,0.5,1,0.5,1,0,0.5,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,4,1,1,rest,,0,,0.5,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,4,1,1,rest,,2.5,,0.25,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,extra-rest,rhythm,4,1,1,,rest,,0.75,,0.25,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,5,1,1,rest,rest,3,2.75,1,0.5,0,0.25,0.5,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,5,1,1,C5,C5,0,0,3,2,0,0,1,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-tie,sustain,5,1,1,C5,C5,0,0,3,2,0,0,1,sustain-tie,sustain_association,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,5,1,1,C5,,2,,1,,,,,missing-or-extra-extraction,symbol_detection,event-match
